ecosystem,name,version,state_presence,state_status,severity,alert_status,alert_route,scan_finished_ms,last_error
npm,@onereach/regex-helper,0.5.16,present,scanned,malware,pending,default,1785853819537,""
npm,@onereach/regex-helper,0.5.17,present,scanned,malware,pending,default,1785853819399,""
npm,@onereach/regex-helper,0.5.18,present,scanned,malware,sent,default,1785846547638,""
npm,@onereach/regular-expressions,0.5.23,present,scanned,malware,pending,default,1785853819438,""
npm,@onereach/regular-expressions,0.5.24,present,scanned,malware,pending,default,1785853819571,""
npm,@onereach/regular-expressions,0.5.25,present,scanned,malware,sent,default,1785846813781,""
npm,@onereach/regular-expressions-test,0.0.4,present,scanned,malware,pending,default,1785853819472,""
npm,@onereach/regular-expressions-test,0.0.5,present,scanned,malware,pending,default,1785853819505,""
npm,@onereach/regular-expressions-test,0.0.6,present,scanned,malware,sent,default,1785846813847,""
npm,@onereach/rwc-client,6.4.7,present,scanned,malware,sent,default,1785846893956,""
npm,@onereach/rwc-client,6.4.8,present,scanned,malware,sent,default,1785846909419,""
npm,@onereach/rwc-client,6.4.9,present,scanned,malware,sent,default,1785846677011,""
npm,@onereach/salesforce-miaw-client,0.0.3,present,scanned,malware,pending,default,1785853818494,""
npm,@onereach/salesforce-miaw-client,0.0.4,present,scanned,malware,pending,default,1785853818539,""
npm,@onereach/salesforce-miaw-client,0.0.5,present,scanned,malware,sent,default,1785846496764,""
npm,@onereach/si-a-button,0.0.3,present,scanned,malware,pending,default,1785853818937,""
npm,@onereach/si-a-button,0.0.4,present,scanned,malware,pending,default,1785853820747,""
npm,@onereach/si-a-button,0.0.5,present,scanned,malware,sent,default,1785846615789,""
npm,@onereach/si-alert,0.4.11,present,scanned,malware,pending,default,1785853820426,""
npm,@onereach/si-alert,0.4.12,present,scanned,malware,pending,default,1785853820374,""
npm,@onereach/si-alert,0.4.13,present,scanned,malware,sent,default,1785846615499,""
npm,@onereach/si-checkbox,0.6.5,present,scanned,malware,pending,default,1785853820838,""
npm,@onereach/si-checkbox,0.6.6,present,scanned,malware,pending,default,1785853820888,""
npm,@onereach/si-checkbox,0.6.7,present,scanned,malware,sent,default,1785846992703,""
npm,@onereach/si-checkbox-group,0.3.5,present,scanned,malware,pending,default,1785853821097,""
npm,@onereach/si-checkbox-group,0.3.6,present,scanned,malware,pending,default,1785853820995,""
npm,@onereach/si-checkbox-group,0.3.7,present,scanned,malware,sent,default,1785847009145,""
